sample.ID	S	reference
HG00729	0.0934885213762713	TRUE
HG00731	0.160761622450383	TRUE
HG00732	0.172510652771543	TRUE
HG00734	0.143645256405385	TRUE
HG00736	0.172439564231373	TRUE
HG00737	0.159547247520073	TRUE
HG00739	0.226109272993089	TRUE
HG00740	0.159002549388706	TRUE
HG00742	0.169020521491724	TRUE
HG00743	0.145835939905758	TRUE
HG00759	0.106279076751273	TRUE
HG00766	0.104868020067725	TRUE
HG00844	0.0935904198802663	TRUE
HG00864	0.0961929749203729	TRUE
HG00867	0.095477909876273	TRUE
HG00879	0.0981885454514783	TRUE
HG00956	0.102459991003136	TRUE
HG00978	0.0854658312544044	TRUE
HG00982	0.0957804284165428	TRUE
HG01028	0.0914181731523944	TRUE
HG01029	0.0914877394090102	TRUE
HG01031	0.117555654640409	TRUE
HG01046	0.118415083129008	TRUE
HG01047	0.138634913919984	TRUE
HG01048	0.170492052249912	TRUE
HG01049	0.155789171343792	TRUE
HG01051	0.16493250415639	TRUE
HG01052	0.143701095875483	TRUE
HG01054	0.182323891446863	TRUE
HG01055	0.151836134425529	TRUE
HG01058	0.173792128954319	TRUE
HG01060	0.134862933841577	TRUE
HG01061	0.145497194461218	TRUE
HG01063	0.179786213209952	TRUE
HG01064	0.148163690874541	TRUE
HG01066	0.150397400959924	TRUE
HG01067	0.17048784776682	TRUE
HG01069	0.173695879527222	TRUE
HG01070	0.150559609095866	TRUE
HG01072	0.183364795540437	TRUE
HG01073	0.166362252170029	TRUE
HG01075	0.209081714869629	TRUE
HG01077	0.163884240864672	TRUE
HG01079	0.145683345243091	TRUE
HG01080	0.17897135587793	TRUE
HG01082	0.157141567543594	TRUE
HG01083	0.162102227701976	TRUE
HG01085	0.163000920951945	TRUE
HG01086	0.182294844488323	TRUE
HG01088	0.148829734879712	TRUE
HG01089	0.145894045151037	TRUE
HG01092	0.178461342206311	TRUE
HG01094	0.18164798696572	TRUE
HG01095	0.156879656602679	TRUE
HG01097	0.142659650783596	TRUE
HG01098	0.120770710678683	TRUE
HG01101	0.144511317712888	TRUE
HG01102	0.196684808999668	TRUE
HG01104	0.138955111230961	TRUE
HG01105	0.155669173530874	TRUE
HG01107	0.175409290570547	TRUE
HG01108	0.240773296103336	TRUE
HG01110	0.145313799380369	TRUE
HG01111	0.191403523766603	TRUE
HG01112	0.162199611750066	TRUE
HG01113	0.155391583165988	TRUE
HG01119	0.179291599430948	TRUE
HG01121	0.176523335208792	TRUE
HG01122	0.186763182818315	TRUE
HG01124	0.185463130869401	TRUE
HG01125	0.153609501203887	TRUE
HG01130	0.157702891654257	TRUE
HG01131	0.145639426078577	TRUE
HG01133	0.162882447148507	TRUE
HG01134	0.174621209782298	TRUE
HG01136	0.159502177522058	TRUE
HG01137	0.155843759195531	TRUE
HG01139	0.145657470663632	TRUE
HG01140	0.154346599148809	TRUE
HG01142	0.177186220475379	TRUE
HG01148	0.157849737478319	TRUE
HG01149	0.180455799644919	TRUE
HG01161	0.177117175279805	TRUE
HG01162	0.137782806228131	TRUE
HG01164	0.148134730459554	TRUE
HG01167	0.176837882520886	TRUE
HG01168	0.248313036148507	TRUE
HG01170	0.144987294749654	TRUE
HG01171	0.144745290094174	TRUE
HG01173	0.185253440915625	TRUE
HG01174	0.168432917174643	TRUE
HG01176	0.139028353583509	TRUE
HG01177	0.142641742258699	TRUE
HG01182	0.16439776939269	TRUE
HG01183	0.172671672808335	TRUE
HG01187	0.18126081983519	TRUE
HG01188	0.205591487589745	TRUE
HG01190	0.14802728783503	TRUE
HG01191	0.145251550005305	TRUE
HG01197	0.164628619614427	TRUE
